ticker,date,open,high,low,close
A,1999-11-18,29.5594,32.4842,25.9889,28.5858
A,1999-11-19,27.8972,27.9371,25.8613,26.2311
A,1999-11-22,26.837,28.5858,26.0278,28.5858
A,1999-11-23,27.6102,28.3377,25.9889,25.9889
A,1999-11-24,26.0637,27.2445,25.9889,26.6745
A,1999-11-26,26.5569,26.9585,26.4752,26.7622
A,1999-11-29,26.6356,27.5724,26.3506,27.363
A,1999-11-30,27.2844,27.8972,26.5958,27.411
A,1999-12-01,27.411,28.2221,27.2096,27.8972
A,1999-12-02,28.4204,29.2325,28.0596,28.6655
A,1999-12-03,29.1957,29.6819,28.7851,28.9087
A,1999-12-06,29.3969,30.1683,29.3571,29.7219
A,1999-12-07,29.7219,29.8833,28.7851,29.3969
A,1999-12-08,29.3969,29.6371,29.1109,29.3571
A,1999-12-09,29.3969,29.8463,29.3969,29.7627
A,1999-12-10,29.6819,29.8463,29.0731,29.0731
A,1999-12-13,29.5594,30.0477,28.8329,29.5594
A,1999-12-14,29.4837,29.4837,27.3222,27.9371
A,1999-12-15,27.2844,27.4886,26.6356,27.084
A,1999-12-16,27.2844,30.6984,27.2844,30.6984
A,1999-12-17,30.1294,30.6107,29.5205,29.8463
A,1999-12-20,30.0477,30.4951,29.9629,30.4573
A,1999-12-21,30.3317,30.3317,29.8833,30.2879
A,1999-12-22,30.2879,30.8967,30.0845,30.8967
A,1999-12-23,30.8598,32.4842,30.82,32.3168
A,1999-12-27,32.4452,34.5559,32.1962,34.3077
A,1999-12-28,35.2445,39.953,35.0432,39.953
A,1999-12-29,40.9286,51.363,40.8887,46.7721
A,1999-12-30,49.3739,51.9729,48.2369,51.4855
A,1999-12-31,51.649,51.9359,49.5384,50.226
A,2000-01-03,51.1617,51.2803,43.7725,46.7721
A,2000-01-04,44.2559,44.7482,42.0636,43.2025
A,2000-01-05,43.0401,43.2025,39.1797,40.525
A,2000-01-06,40.0327,40.2818,37.7567,38.9753
A,2000-01-07,38.3705,42.8379,38.3287,42.227
A,2000-01-10,44.8279,45.2314,43.8921,44.788
A,2000-01-11,44.788,44.788,43.1627,44.1761
A,2000-01-12,44.1761,44.1761,41.6172,43.2823
A,2000-01-13,44.4203,45.352,42.8767,43.9291
A,2000-01-14,43.5225,45.071,43.5225,44.4203
A,2000-01-18,44.5807,47.3491,44.2559,46.4492
A,2000-01-19,46.7721,46.7721,45.352,45.4746
A,2000-01-20,45.9639,46.0466,43.8513,44.2559
A,2000-01-21,44.9046,45.071,43.1627,44.6645
A,2000-01-24,44.502,46.6535,44.1761,44.502
A,2000-01-25,44.6645,45.2314,43.1627,43.9759
A,2000-01-26,44.1363,44.9873,44.0995,44.3775
A,2000-01-27,45.3949,45.7984,43.6909,44.4602
A,2000-01-28,45.1508,45.1508,43.8115,44.2141
A,2000-01-31,43.8921,43.9291,42.0636,43.0013
A,2000-02-01,43.0401,46.7721,43.0401,46.1274
A,2000-02-02,46.6973,49.6958,46.49,49.6958
A,2000-02-03,48.8478,50.51,47.9519,50.51
A,2000-02-04,50.51,50.51,48.7223,49.5384
A,2000-02-07,50.4701,51.9729,49.5384,51.649
